"","id","edad","genero","categoria_placer_02","subcategoria_placer","categoria_melancolia_02","subcategoria_melancolia"
"1",1,"de 21 años a 25 años","Femenino","Felino","Gato","Granja","Vaca"
"2",2,"de 21 años a 25 años","preferiría no contestar","Felino","Pantera","Sin respuesta","Sinrespuesta"
"3",2,"de 21 años a 25 años","preferiría no contestar","Sin respuesta","Sinrespuesta","Ave","Garza"
"4",2,"de 21 años a 25 años","preferiría no contestar","Sin respuesta","Sinrespuesta","Ave","Lechuza"
"5",2,"de 21 años a 25 años","preferiría no contestar","Sin respuesta","Sinrespuesta","Oso","Osopolar"
"6",3,"de 26 años a 30 años","Masculino","Marino","Delfin","Ave","Ruiseñor"
"7",3,"de 26 años a 30 años","Masculino","Ave","Ave","Sin respuesta","Sinrespuesta"
"8",4,"de 15 años a 20 años","Femenino","Felino","Gato","Ave","Ave"
"9",5,"de 21 años a 25 años","Femenino","Felino","Leon","Ave","Garza"
"10",6,"de 26 años a 30 años","Masculino","Felino","Pantera","Marino","Pez"
"11",7,"de 26 años a 30 años","Masculino","Granja","Cerdo","Oso","Osoperezoso"
"12",8,"de 26 años a 30 años","Masculino","Otro","Koala","Otro","Cualquieranimalqueestésólo"
"13",9,"de 21 años a 25 años","Femenino","Canino","Perro","Ave","Ganso"
"14",10,"de 21 años a 25 años","Femenino","Otro","Mariposa","Otro","Animalesenpeligrodeextinción"
"15",10,"de 21 años a 25 años","Femenino","Roedor","Conejo","Sin respuesta","Sinrespuesta"
"16",11,"de 15 años a 20 años","Masculino","Ave","Pavoreal","Felino","Gato"
"17",12,"de 15 años a 20 años","No binario","Felino","Gato","Canino","Perro"
"18",13,"de 21 años a 25 años","preferiría no contestar","Sin respuesta","Sinrespuesta","Reptil","Tortuga"
"19",14,"de 21 años a 25 años","No binario","Reptil","Serpiente","Marino","Pez"
"20",14,"de 21 años a 25 años","No binario","Felino","Leon","Sin respuesta","Sinrespuesta"
"21",15,"de 21 años a 25 años","Masculino","Reptil","Serpiente","Canino","Perro"
"22",15,"de 21 años a 25 años","Masculino","Otro","Mono","Felino","Gato"
"23",16,"de 21 años a 25 años","Femenino","Reptil","Serpiente","Ave","Buho"
"24",17,"de 21 años a 25 años","No binario","Felino","Pantera","Canino","Lobo"
"25",18,"de 21 años a 25 años","Femenino","Oso","Oso","Canino","Perro"
"26",19,"de 21 años a 25 años","Femenino","Otro","Mantisreligiosa","Felino","Leon"
"27",20,"de 26 años a 30 años","Femenino","Felino","Leon","Ave","Ave"
"28",21,"de 15 años a 20 años","Femenino","Otro","Mariposa","Canino","Perro"
"29",22,"de 21 años a 25 años","No binario","Canino","Perro","Ave","Lechuza"
"30",23,"de 21 años a 25 años","Femenino","Marino","Delfin","Roedor","Conejo"
"31",24,"de 31 años a 35 años","Femenino","Marino","Estrellademar","Ave","Lechuza"
"32",25,"de 26 años a 30 años","Masculino","Ave","Aguila","Oso","Osopanda"
"33",26,"de 21 años a 25 años","Femenino","Felino","Gato","Ave","Golondrina"
"34",27,"de 21 años a 25 años","Femenino","Granja","Caballo","Ave","Gato"
"35",28,"de 21 años a 25 años","Femenino","Felino","Leon","Canino","Perro"
"36",29,"de 26 años a 30 años","Masculino","Granja","Res","Ave","Ave"
"37",30,"de 21 años a 25 años","Masculino","Reptil","Serpiente","Ave","Ave"
"38",31,"de 15 años a 20 años","Masculino","Otro","Huron","Oso","Osoperezoso"
"39",32,"de 31 años a 35 años","Femenino","Oso","Osoperezoso","Felino","Gato"
"40",33,"de 31 años a 35 años","Femenino","Ave","Ave","Marino","Pez"
"41",34,"de 21 años a 25 años","Femenino","Reptil","Serpiente","Ave","Ave"
"42",35,"de 31 años a 35 años","Masculino","Felino","Pantera","Otro","Venado"
"43",36,"de 15 años a 20 años","Masculino","Ave","Quetzal","Felino","Leon"
"44",37,"de 21 años a 25 años","Masculino","Felino","Gato","Roedor","Raton"
"45",38,"de 26 años a 30 años","Femenino","Reptil","Serpiente","Roedor","Osoperezoso"
"46",39,"de 26 años a 30 años","Masculino","Canino","Perro","Otro","Nutria"
"47",40,"de 26 años a 30 años","Femenino","Felino","Gato","Ave","Ave"
"48",41,"de 21 años a 25 años","Femenino","Oso","Osopanda","Granja","Caballo"
"49",42,"de 21 años a 25 años","No binario","Reptil","Serpiente","Felino","Gato"
"50",43,"de 26 años a 30 años","Femenino","Marino","Delfin","Roedor","Rata"
"51",44,"de 31 años a 35 años","Femenino","Felino","Gato","Canino","Lobo"
"52",45,"de 21 años a 25 años","No binario","Marino","Foca","Ave","Pinguino"
"53",46,"de 31 años a 35 años","Femenino","Canino","Perro","Ave","Pinguino"
"54",47,"de 31 años a 35 años","Femenino","Felino","Gato","Ave","Ave"
"55",48,"de 21 años a 25 años","Femenino","Sin respuesta","Sinrespuesta","Sin respuesta","Sinrespuesta"
"56",49,"de 26 años a 30 años","Femenino","Felino","Gato","Ave","Ave"
"57",50,"de 31 años a 35 años","Femenino","Marino","Pulpo","Felino","Gato"
"58",51,"de 21 años a 25 años","No binario","Marino","Delfin","Ave","Buho"
"59",51,"de 21 años a 25 años","No binario","Otro","Mono","Ave","Ave"
"60",51,"de 21 años a 25 años","No binario","Otro","Mono","Ave","Garza"
"61",51,"de 21 años a 25 años","No binario","Roedor","Conejo","Sin respuesta","Sinrespuesta"
"62",52,"de 21 años a 25 años","Femenino","Felino","Gato","Canino","Perro"
"63",53,"de 26 años a 30 años","Femenino","Otro","Jirafa","Sin respuesta","Sinrespuesta"
"64",54,"de 15 años a 20 años","Femenino","Marino","Pez","Ave","Pinguino"
"65",55,"de 21 años a 25 años","Femenino","Felino","Tigre","Canino","Perro"
"66",56,"de 26 años a 30 años","Femenino","Felino","Felino","Sin respuesta","Sinrespuesta"
"67",57,"de 31 años a 35 años","Masculino","Ave","Halcon","Reptil","Tortuga"
"68",58,"de 31 años a 35 años","Femenino","Felino","Gato","Sin respuesta","Sinrespuesta"
"69",59,"de 21 años a 25 años","Masculino","Marino","Ballena","Marino","Tiburon"
"70",60,"de 21 años a 25 años","Masculino","Reptil","Serpiente","Otro","Elefante"
"71",61,"de 21 años a 25 años","Femenino","Felino","Leon","Canino","Perro"
"72",62,"de 21 años a 25 años","Femenino","Ave","Ave","Canino","Perro"
"73",63,"de 21 años a 25 años","Femenino","Felino","Gato","Canino","Perro"
"74",64,"de 31 años a 35 años","Femenino","Felino","Gato","Ave","Ave"
"75",65,"de 15 años a 20 años","Femenino","Felino","Gato","Ave","Paloma"
"76",66,"de 21 años a 25 años","preferiría no contestar","Otro","Jirafa","Canino","Perro"
"77",67,"de 15 años a 20 años","Femenino","Ave","Ave","Felino","Gato"
"78",68,"de 26 años a 30 años","Masculino","Marino","Delfin","Marino","Medusas"
"79",69,"de 21 años a 25 años","Femenino","Roedor","Capibara","Canino","Lobo"
"80",70,"de 21 años a 25 años","Femenino","Ave","Cisne","Canino","Lobo"
"81",71,"de 21 años a 25 años","Masculino","Marino","Manatí","Canino","Perro"
"82",72,"de 26 años a 30 años","Femenino","Felino","Leon","Ave","Pájarocarpintero"
"83",73,"de 21 años a 25 años","Femenino","Felino","Gato","Reptil","Iguano"
"84",74,"de 21 años a 25 años","Masculino","Reptil","Serpiente","Felino","Gato"
"85",75,"de 15 años a 20 años","No binario","Otro","Ornitorinco","Oso","Osoperezoso"
"86",76,"de 31 años a 35 años","Femenino","Marino","Pez","Otro","Rinocerontenegro"
"87",77,"de 21 años a 25 años","Femenino","Roedor","Conejo","Otro","Mariposa"
